Question,Response
Why do you seem so distant these days?,I've just had a lot on my mind recently.
Can we talk about that project now?,"Honestly, I think it's going to change a lot of things."
Can we talk about that project now?,I'd say start with something like Spanish.
Could you share your thoughts on the recent elections?,I've just had a lot on my mind recently.
Have you ever been to Paris?,"If we push hard, we definitely can."
Can we talk about that project now?,"Honestly, I think it's going to change a lot of things."
What are your plans for the weekend?,"Sure, let's go over the details."
Why didn't you call me back last night?,It's challenging but rewarding.
Have you ever been to Paris?,"If we push hard, we definitely can."
Do you think we'll finish this task on time?,"I'm not sure, maybe it's just stress."
Why didn't you call me back last night?,I'd say start with something like Spanish.
Can we talk about that project now?,I'd say start with something like Spanish.
Do you think we'll finish this task on time?,"I'm not sure, maybe it's just stress."
What are your plans for the weekend?,"Yes, it's beautiful! You should definitely visit."
Could you share your thoughts on the recent elections?,"Honestly, I think it's going to change a lot of things."
"I am thinking of learning a new language, any suggestions?","I'm thinking of a road trip, actually."
Can we talk about that project now?,I'd say start with something like Spanish.
"I am thinking of learning a new language, any suggestions?","If we push hard, we definitely can."
Have you ever been to Paris?,"Honestly, I think it's going to change a lot of things."
Why do you seem so distant these days?,"If we push hard, we definitely can."
What's been bothering you lately?,"Honestly, I think it's going to change a lot of things."
Why didn't you call me back last night?,"I'm not sure, maybe it's just stress."
What's been bothering you lately?,It's challenging but rewarding.
What's been bothering you lately?,It's challenging but rewarding.
"I am thinking of learning a new language, any suggestions?",I'd say start with something like Spanish.
"I am thinking of learning a new language, any suggestions?","I'm not sure, maybe it's just stress."
"I am thinking of learning a new language, any suggestions?",It's challenging but rewarding.
Could you share your thoughts on the recent elections?,"I'm really sorry, something came up."
Can we talk about that project now?,"I'm thinking of a road trip, actually."
Have you ever been to Paris?,"Yes, it's beautiful! You should definitely visit."
Why do you seem so distant these days?,It's challenging but rewarding.
"I am thinking of learning a new language, any suggestions?",I've just had a lot on my mind recently.
"I am thinking of learning a new language, any suggestions?","I'm not sure, maybe it's just stress."
"I heard you got a new job, how is it going?","I'm not sure, maybe it's just stress."
Why do you seem so distant these days?,"Sure, let's go over the details."
"I am thinking of learning a new language, any suggestions?",I've just had a lot on my mind recently.
"I heard you got a new job, how is it going?","I'm not sure, maybe it's just stress."
What's been bothering you lately?,"Yes, it's beautiful! You should definitely visit."
Why do you seem so distant these days?,I've just had a lot on my mind recently.
Have you ever been to Paris?,I've just had a lot on my mind recently.
What are your plans for the weekend?,It's challenging but rewarding.
Why do you seem so distant these days?,"If we push hard, we definitely can."
Why didn't you call me back last night?,"Yes, it's beautiful! You should definitely visit."
What's been bothering you lately?,"I'm really sorry, something came up."
Can we talk about that project now?,"I'm not sure, maybe it's just stress."
Have you ever been to Paris?,"I'm really sorry, something came up."
Can we talk about that project now?,"I'm really sorry, something came up."
Could you share your thoughts on the recent elections?,"Honestly, I think it's going to change a lot of things."
"I am thinking of learning a new language, any suggestions?","I'm not sure, maybe it's just stress."
Can we talk about that project now?,"I'm really sorry, something came up."
Why do you seem so distant these days?,I'd say start with something like Spanish.
Could you share your thoughts on the recent elections?,"Yes, it's beautiful! You should definitely visit."
What are your plans for the weekend?,"Yes, it's beautiful! You should definitely visit."
Why didn't you call me back last night?,"I'm really sorry, something came up."
"I am thinking of learning a new language, any suggestions?","Yes, it's beautiful! You should definitely visit."
What are your plans for the weekend?,I'd say start with something like Spanish.
Have you ever been to Paris?,"Yes, it's beautiful! You should definitely visit."
Have you ever been to Paris?,"Yes, it's beautiful! You should definitely visit."
Can we talk about that project now?,I've just had a lot on my mind recently.
Have you ever been to Paris?,"Yes, it's beautiful! You should definitely visit."
Have you ever been to Paris?,"Honestly, I think it's going to change a lot of things."
