Question,Response,Emotion,Dialogue Act,Conversation Type
Have you ever been to Paris?,I'd say start with something like Spanish.,anger,question,relationship
Can we talk about that project now?,I've just had a lot on my mind recently.,sadness,inform,school life
Can we talk about that project now?,"I'm really sorry, something came up.",disgust,question,tourism
Why do you seem so distant these days?,I'd say start with something like Spanish.,disgust,commissive,work
Why do you seem so distant these days?,"Honestly, I think it's going to change a lot of things.",sadness,commissive,ordinary life
Why didn't you call me back last night?,I've just had a lot on my mind recently.,surprise,commissive,finance
What are your plans for the weekend?,"I'm really sorry, something came up.",sadness,commissive,health
Could you share your thoughts on the recent elections?,I'd say start with something like Spanish.,happiness,inform,culture & education
Can we talk about that project now?,"I'm really sorry, something came up.",surprise,commissive,culture & education
Can we talk about that project now?,"If we push hard, we definitely can.",anger,commissive,culture & education
What are your plans for the weekend?,"I'm thinking of a road trip, actually.",fear,inform,ordinary life
What are your plans for the weekend?,I've just had a lot on my mind recently.,anger,directive,school life
Can we talk about that project now?,"I'm not sure, maybe it's just stress.",fear,inform,school life
Why didn't you call me back last night?,"I'm thinking of a road trip, actually.",surprise,question,ordinary life
Do you think we'll finish this task on time?,"I'm really sorry, something came up.",anger,inform,relationship
"I am thinking of learning a new language, any suggestions?","Honestly, I think it's going to change a lot of things.",fear,directive,politics
Can we talk about that project now?,"Yes, it's beautiful! You should definitely visit.",happiness,inform,relationship
What's been bothering you lately?,"I'm really sorry, something came up.",anger,question,culture & education
What's been bothering you lately?,I've just had a lot on my mind recently.,sadness,inform,relationship
Can we talk about that project now?,"Honestly, I think it's going to change a lot of things.",surprise,directive,relationship
Have you ever been to Paris?,I'd say start with something like Spanish.,fear,commissive,finance
Why do you seem so distant these days?,"I'm not sure, maybe it's just stress.",happiness,inform,ordinary life
Could you share your thoughts on the recent elections?,It's challenging but rewarding.,disgust,question,health
Do you think we'll finish this task on time?,"I'm thinking of a road trip, actually.",happiness,question,ordinary life
What are your plans for the weekend?,I've just had a lot on my mind recently.,disgust,inform,culture & education
"I heard you got a new job, how is it going?","Yes, it's beautiful! You should definitely visit.",disgust,inform,politics
What's been bothering you lately?,I've just had a lot on my mind recently.,happiness,question,school life
What's been bothering you lately?,"I'm thinking of a road trip, actually.",happiness,directive,ordinary life
Why do you seem so distant these days?,It's challenging but rewarding.,happiness,question,politics
Could you share your thoughts on the recent elections?,"Yes, it's beautiful! You should definitely visit.",fear,question,finance
What are your plans for the weekend?,"I'm thinking of a road trip, actually.",sadness,directive,school life
Have you ever been to Paris?,"I'm thinking of a road trip, actually.",surprise,directive,relationship
Why didn't you call me back last night?,I've just had a lot on my mind recently.,happiness,commissive,attitude & emotion
Could you share your thoughts on the recent elections?,I'd say start with something like Spanish.,disgust,commissive,relationship
Why didn't you call me back last night?,I've just had a lot on my mind recently.,surprise,question,tourism
Can we talk about that project now?,It's challenging but rewarding.,surprise,question,tourism
"I am thinking of learning a new language, any suggestions?","Yes, it's beautiful! You should definitely visit.",disgust,commissive,school life
Do you think we'll finish this task on time?,I've just had a lot on my mind recently.,happiness,question,tourism
Can we talk about that project now?,It's challenging but rewarding.,fear,question,attitude & emotion
"I am thinking of learning a new language, any suggestions?","Honestly, I think it's going to change a lot of things.",happiness,commissive,work
Have you ever been to Paris?,"Yes, it's beautiful! You should definitely visit.",sadness,inform,tourism
Do you think we'll finish this task on time?,I've just had a lot on my mind recently.,disgust,question,culture & education
"I am thinking of learning a new language, any suggestions?",It's challenging but rewarding.,happiness,inform,relationship
Can we talk about that project now?,"Sure, let's go over the details.",happiness,question,ordinary life
What's been bothering you lately?,"I'm thinking of a road trip, actually.",disgust,commissive,relationship
Could you share your thoughts on the recent elections?,"Sure, let's go over the details.",happiness,question,ordinary life
What are your plans for the weekend?,I'd say start with something like Spanish.,anger,question,culture & education
"I heard you got a new job, how is it going?","Yes, it's beautiful! You should definitely visit.",anger,directive,ordinary life
Why do you seem so distant these days?,"Sure, let's go over the details.",fear,inform,attitude & emotion
Have you ever been to Paris?,It's challenging but rewarding.,happiness,commissive,health
Can we talk about that project now?,I'd say start with something like Spanish.,happiness,inform,culture & education
"I am thinking of learning a new language, any suggestions?","Sure, let's go over the details.",sadness,directive,ordinary life
What's been bothering you lately?,I've just had a lot on my mind recently.,anger,directive,politics
What's been bothering you lately?,"If we push hard, we definitely can.",anger,commissive,relationship
Could you share your thoughts on the recent elections?,"I'm really sorry, something came up.",surprise,directive,school life
